imdbID,title,year,rating,genre,released,director,writer,cast,metacritic,imdbRating,imdbVotes,poster,language,country,lastupdated,type
17136,Metropolis,1927,NOT RATED,"Drama, Sci-Fi",3/13/1927,Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Frehlich, Rudolf Klein-Rogge, Fritz Rasp",98.0,8.3,99845.0,https://m.media-amazon.com/images/M/MV5BNDAzNTkyODg1MF5BMl5BanBnXkFtZTgwMDA3NDkwMDE@._V1_SX300.jpg,German,Germany,09:30.6,movie
20269,Piccadilly,1929,TV-PG,"Drama, Crime",6/1/1929,Ewald Andre Dupont,Arnold Bennett (original screenplay),"Gilda Gray, Anna May Wong, Jameson Thomas, Charles Laughton",89.0,7.2,798.0,https://m.media-amazon.com/images/M/MV5BODYxODkyODc3MV5BMl5BanBnXkFtZTgwNjg4NzM0MjE@._V1_SX300.jpg,English,UK,06:26.2,movie
20697,The Blue Angel,1930,NOT RATED,"Drama, Music",1/3/1931,Josef von Sternberg,"Heinrich Mann (novel), Carl Zuckmayer, Karl Vollmeller, Robert Liebmann","Emil Jannings, Marlene Dietrich, Kurt Gerron, Rosa Valetti",88.0,7.8,9734.0,https://m.media-amazon.com/images/M/MV5BNDkyMjgzMDU2Ml5BMl5BanBnXkFtZTgwMzg0MTE1MjE@._V1_SX300.jpg,"German, English, French",Germany,50:31.0,movie
27977,Modern Times,1936,G,"Comedy, Drama",2/25/1936,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",96.0,8.6,123603.0,https://m.media-amazon.com/images/M/MV5BMjAyMTkxNjI5OF5BMl5BanBnXkFtZTYwMjI2MjA5._V1_SX300.jpg,English,USA,06:38.9,movie
29453,Pepe le Moko,1937,NOT RATED,"Crime, Drama, Romance",3/3/1941,Julien Duvivier,"Henri La Barthe (novel), Henri La Barthe (scenario), Julien Duvivier (scenario), Jacques Constant (adaptation), Henri Jeanson (dialogue)","Jean Gabin, Gabriel Gabrio, Saturnin Fabre, Fernand Charpin",98.0,7.8,4398.0,https://m.media-amazon.com/images/M/MV5BMTY5NTUxMDg0MV5BMl5BanBnXkFtZTgwMjMyMTc0MzE@._V1_SX300.jpg,"French, Arabic",France,45:12.3,movie
29843,The Adventures of Robin Hood,1938,PG,"Action, Adventure, Romance",5/14/1938,"Michael Curtiz, William Keighley","Norman Reilly Raine (original screenplay: based upon ancient Robin Hood legends), Seton I. Miller (original screenplay: based upon ancient Robin Hood legends)","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains",97.0,8.0,36789.0,https://m.media-amazon.com/images/M/MV5BMTUxMzE0MjI0MF5BMl5BanBnXkFtZTcwMTQ1OTM2MQ@@._V1_SX300.jpg,English,USA,11:51.8,movie
32138,The Wizard of Oz,1939,PASSED,"Adventure, Family, Fantasy",8/25/1939,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor","Noel Langley (screenplay), Florence Ryerson (screenplay), Edgar Allan Woolf (screenplay), Noel Langley (adaptation), L. Frank Baum (from the book by)","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr",100.0,8.1,262132.0,https://m.media-amazon.com/images/M/MV5BMTU0MTA2OTIwNF5BMl5BanBnXkFtZTcwMzA0Njk3OA@@._V1_SX300.jpg,English,USA,29:05.5,movie
35423,Kate & Leopold,2001,PG-13,"Comedy, Fantasy, Romance",12/25/2001,James Mangold,"Steven Rogers (story), James Mangold (screenplay), Steven Rogers (screenplay)","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer",44.0,6.3,59951.0,https://m.media-amazon.com/images/M/MV5BODU1MzU0OTUwOF5BMl5BanBnXkFtZTYwNjA5NTA5._V1_SX300.jpg,"English, French",USA,19:09.7,movie
38348,Beauty and the Beast,1946,NOT RATED,"Fantasy, Romance",12/23/1947,"Jean Cocteau, Rene Clement","Jean Cocteau (dialogue), Jean Cocteau (screenplay), Jean Cocteau (story), Jeanne-Marie Leprince de Beaumont (story)","Jean Marais, Josette Day, Mila Parely, Nane Germon",92.0,8.0,17762.0,"https://m.media-amazon.com/images/M/MV5BMTQxODUzNzI5OF5BMl5BanBnXkFtZTgwMzg1MDM5MTE@._V1._CR28.883331298828125,21.533340454101562,331,457_SY132_CR3,0,89,132_AL_.jpg_V1_SX300.jpg",French,France,01:03.6,movie
29843,The Adventures of Robin Hood,1938,PG,"Action, Adventure, Romance",5/14/1938,"Michael Curtiz, William Keighley","Norman Reilly Raine (original screenplay: based upon ancient Robin Hood legends), Seton I. Miller (original screenplay: based upon ancient Robin Hood legends)","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains",97.0,8.0,36916.0,https://m.media-amazon.com/images/M/MV5BMTUxMzE0MjI0MF5BMl5BanBnXkFtZTcwMTQ1OTM2MQ@@._V1_SX300.jpg,English,USA,33:44.2,movie
40338,The Fallen Idol,1948,NOT RATED,"Drama, Mystery, Thriller",10/25/1948,Carol Reed,"Graham Greene (story), Graham Greene (screenplay), Lesley Storm (additional dialogue), William Templeton (additional dialogue)","Ralph Richardson, Michele Morgan, Sonia Dresdel, Bobby Henrey",88.0,7.9,5022.0,https://m.media-amazon.com/images/M/MV5BMTU4MTY3NzYxOF5BMl5BanBnXkFtZTcwMzYwNzczMQ@@._V1_SX300.jpg,"English, French",UK,46:18.7,movie
