id,Año,Mes,Fecha_inicial ,Fecha_final ,Nombre_Evento,Descripción,Temas,Ciudad,Lugar,Sitio_Web,Público,Expositores,Cargo
1,2015,4,04/20/2015 12:00:00 AM,04/22/2015 12:00:00 AM,Cartagena Data Festival,"El evento organizado por la ODI, Africa Gathering, CEPEI, Data-Pop Alliance, PARIS21, el PNUD y el UNFPA. El evento se centró en resolver las deficiencias críticas en la cobertura, acceso y análisis de datos, contribuyendo al esfuerzo mundial para impulsar el progreso en la agenda después de 2015.Objetivos de la conferencia    Impulsar los cambios que sean necesarios para avanzar en una revolución de datos reuniendo a las personas y organizaciones cuyas innovaciones, recursos, experiencias e influencia puedan hacerlos realidad.    Desarrollar soluciones concretas y herramientas prácticas para producir un progreso sostenible a largo plazo a través de una revolución de datos.    Construir las ideas, innovaciones y alianzas necesarias para monitorear los objetivos de desarrollo sostenible.",Taller Datos Abiertos - Data Capsula,Cartagena,Casa 1537,http://www.cartagenadatafest2015.org/,"Participantes de todo el mundo incluyendo representantes del gobierno, organizaciones de la sociedad civil, innovadores técnicos, académicos y activistas de datos",Luisa Fernanda Medina,Asesora del Viceministerio de Economía Digital -  Líder Iniciativa de Datos Abiertos
2,2015,8,08/04/2015 12:00:00 AM,08/13/2015 12:00:00 AM,Jornada de datos abiertos para la seguridad ciudadana3.0,"El evento busca generar un espacio para socializar la estrategia de datos abiertos y su implementación, en la Seguridad Ciudadana, intercambiando experiencias y criterios entre los productores y los usuarios de la información",Iniciativa Datos Abiertos de Colombia,Bogotá,Cámara de Comercio de Chapinero Sala empresarial (301/302) Sesion 1-  MINTIC Sesion 2,http://www.bogota.gov.co/article/jornada-de-datos-abiertos-para-la-seguridad-ciudadana,Entidades públicas,Diego Barbosa,Coordinador de Gobierno Abierto
3,2015,9,09/07/2015 12:00:00 AM,09/10/2015 12:00:00 AM,Colombia 3.0,"Comprender la importancia del uso de los datos abiertos de Gobierno e identificar soluciones reales en torno a un reto relacionado con la Cobertura y la Calidad Educativa, identificando problemáticas propias de la Educación a partir de los datos abiertos y plantear posibles escenarios de solución de las mismas, teniendo como punto de partida el análisis y visualización de los datos",Iniciativa Datos Abiertos de Colombia,Bogotá,Zona T,http://col30.co/638/w3-channel.html,"Empresas privadas, startups y freelancers
Activistas y ONGs
Periodistas de datos
Representantes de la sociedad civil",Luisa Fernanda Medina,Asesora del Viceministerio de Economía Digital -  Líder Iniciativa de Datos Abiertos
4,2015,9,09/17/2015 12:00:00 AM,09/17/2015 12:00:00 AM,Foro Regional de Líderes de Gobierno,"el tema principal del V Foro Regional de Líderes de Gobierno fue la Tecnología como factor de desarrollo y revolución regional, líderes del sector privado y gubernamental del sector TI se reunieron para presentar los retos, experiencias y proyectos implementados por los países de la región, con el fin de promover la integración y la transformación de buenas prácticas y casos de éxito de implementación de Tecnologías de Información que benefician a los ciudadanos.",Presentación Datos Abiertos Colombia – Johanna Pimiento Apertura del Evento – Maria Isabel Mejia,Bogotá,"Hotel Marriott El Dorado, Av. El Dorado No. 69B - 53",,Lideres de Gobierno,María Isabel Mejía Jaramillo/Johanna Pimiento,Viceministra de Tecnologías y Sistemas de Información/Directora de Gobierno en línea
5,2015,1,01/10/2015 12:00:00 AM,01/10/2015 12:00:00 AM,Presentación de Resultados Diagnostico del Grado de Preparación de Colombia en Datos Abiertos ODRA -  Banco Mundial,"Para socializar los resultados del Reporte se llevarán a cabo una serie de talleres donde se compartirá el reporte acerca de la situación actual del país en política de datos abiertos exponiendo los resultados del ODRA realizado en República Dominicana con el fin de evidenciar las recomendaciones adecuadas al país.

El equipo del Banco presentará al equipo de GEL de MinTIC los resultados principales del informe así como las recomendaciones para la mejor implementación de la política de datos abiertos en Colombia establecidas en la Hoja de Ruta. En esta primera presentación se mantendrá una discusión sobre recomendaciones o cambios que deban incorporarse al documento y  se hará una presentación del informe sin incluir la hoja de ruta con los cambios acordados anteriormente en donde se invitará a los participantes en las entrevistas así como miembros del sector público, privado y de la sociedad civil influyentes en la política nacional, miembros reconocidos o con alto interés en Datos Abiertos. Al evento también acudirán miembros reconocidos a nivel internacional con alto conocimiento y experiencia en la implementación de Políticas de Datos Abiertos",Resultados ODRA Colombia,Bogotá,Auditorio Murillo Toro,,"El taller está dirigido a funcionarios públicos, tomadores de decisiones, representantes de la sociedad civil, medios de comunicación, y sector privado que están interesados en aprovechar las oportunidades que ofrecen los datos abiertos para negocios y políticas públicas.","Carlos de la Fuente,
Alberto Ortiz de Zárate y Nagore de los Ríos consultores del Banco
Mundial especialistas en gobierno abierto y datos abiertos",Consultores Banco Mundial
6,2015,1,01/10/2015 12:00:00 AM,01/10/2015 12:00:00 AM,Taller de Innovación y Estrategia Datos Abiertos,"Taller de innovación abierta en el que participaran miembros del sector público, sector privado y sociedad civil con los siguientes objetivos:

a) aumentar el conocimiento del significado de datos públicos abiertos y sus beneficios para la nación,

b) crear vínculos y relaciones entre la administración proveedora de estos datos y el ecosistema de reutilizadores de los mismos,

c) inspirar para favorecer la reutilización de los datos no solo por los reutilizadores del primer nivel sino por los destinatarios finales de los datos, es decir los ciudadanos o clientes que consumirán las reutilizaciones o productos finales basadas en los datos.

Este taller puede fortalecer las relaciones y sinergias entre los trabajadores de la administración pública los destinatarios de los datos abiertos para conocer de primera mano las necesidades de ambos, así mismo contribuir a detectar nuevas demandas de datos con el fin de mejorar su apertura en el futuro y aumentar su reutilización, bien evidenciando necesidades de acceso a datasets concretos o estableciendo mecanismos para una detección continua con el fin de hacer crecer la reutilización de los datos, por lo tanto favoreciendo a una mejora de los procesos de apertura, acceso y comunicación de los conjuntos de datos.",Taller de Innovación y Estrategia Datos Abiertos,Bogotá,Auditorio Murillo Toro,http://estrategia.gobiernoenlinea.gov.co/623/w3-article-11139.html,"El taller está dirigido a funcionarios públicos, tomadores de decisiones, representantes de la sociedad civil, medios de comunicación, y sector privado que están interesados en aprovechar las oportunidades que ofrecen los datos abiertos para negocios y políticas públicas.","Carlos de la Fuente,
Alberto Ortiz de Zárate y Nagore de los Ríos consultores del Banco
Mundial especialistas en gobierno abierto y datos abiertos",Consultores Banco Mundial
7,2015,11,11/24/2015 12:00:00 AM,11/24/2015 12:00:00 AM,Taller de construcción de la estrategia de comunicación de Datos Abiertos en el sector educación,Taller de construcción de la estrategia de comunicación de Datos Abiertos en el sector educación con el apoyo del Banco Mundial,Estrategia de comunicación sector educación,Bogotá,Mintic,,Sector Educación,Nagore de los rios,Consultor Banco Mundial
8,2015,3,03/12/2015 12:00:00 AM,04/12/2015 12:00:00 AM,Taller de CoCreación Ecosistema Digital - Banco Mundial,"Con el fin de identificar los elementos clave dinamizadores de la innovación pública digital a través del uso estratégico de las TIC, hemos venido adelantando en convenio con el Banco Mundial un diagnóstico del ecosistema de innovación abierta en Colombia, un mapeo del ecosistema de emprendimiento en TIC y un análisis internacional de buenas prácticas en el establecimiento de un esquema que promueva su consolidación.

El taller convocará expertos reconocidos para compartir sus experiencias y fomentar la generación de conocimiento sobre estrategias colaborativas para innovaciones sociales permitidas por las TIC.

El taller será motivado por su participantes, guiado por facilitadores y ponentes de primer categoría, e informado por las experiencias de instituciones destacadas en las fronteras de ecosistemas de innovación creativas, colaborativas y eficaces.",Taller de CoCreación Ecosistema Digital - Banco Mundial,Bogotá,Ministerio TIC - Carrera 8 entre calles 12 y 12A,http://estrategia.gobiernoenlinea.gov.co/623/w3-article-14192.html,"El taller está dirigido a funcionarios públicos,ciudadanos, industria TI,Academia","Carlos de la Fuente,
Alberto Ortiz de Zárate y Nagore de los Ríos consultores del Banco
Mundial especialistas en gobierno abierto y datos abiertos",Consultores Banco Mundial
9,2015,12,12/14/2015 12:00:00 AM,12/14/2015 12:00:00 AM,"IV Foro Distrital ""Buenas Prácticas en Gestión de la Información Geográfica"" de la Infraestructura de Datos Espaciales de Bogotá – IDECA",Evento Inaugural IV Foro Distrital - Buenas Prácticas en Gestión de la Información GeográﬁcaConvocando el diálogo interinstitucional en pro de la buena gobernanza en la ciudad,"Panel: Gobierno Electrónico y TIC. Su rol e impacto en el uso de la información geográfica: 
¿En dónde estamos y hacia dónde vamos?",Bogotá,"Hotel Radisson de Bogotá, Avenida Cra. 60 No. 22 – 99",,Funcionarios públicos,Luisa Fernanda Medina,Asesora del Viceministerio de Economía Digital -  Líder Iniciativa de Datos Abiertos
10,2015,4,04/24/2016 12:00:00 AM,04/24/2016 12:00:00 AM,Nassa SPACE APP,"Desde su concepción en el 2012, el International Space Apps Challenge se ha convertido en la hackatón global más grande del mundo.  Este evento reúne durante 48 horas miles de ciudadanos alrededor del planeta para trabajar con la NASA en el diseño innovador de soluciones a desafíos globales usando datos de código abierto  (open data).",Iniciativa Datos Abiertos Colombia,Bogotá,Universidad Javeriana,http://www.javeriana.edu.co/spaceappsbogota/,Estudiantes,Luisa Fernanda Medina/Carlos Julio Leon,Lider Iniciativa Datos Abiertos Colombia / Lider Técnico Plataforma Datos abiertos
