Nombre,Ideologia,Fecha_Disolucion,Fecha_Fundacion,Ciudad_Sede,Provincia_Sede,Pais_Sede,Continente_Sede,Sitio_Web
Partido Roldosista Ecuatoriano,CentroIzquierda,2014,1982,Guayaquil,Guayas,Ecuador,América,www.dalobucaram.com
Izquierda Democrática (Ecuador),CentroIzquierda,2013,1970,Quito,Pichincha,Ecuador,América,http://izquierdademocratica.com/
Movimiento Concertación,CentroDerecha,2012,2007,Quito,Pichincha,Ecuador,América,http://www.concertacion.org/
Ruptura 25,Centro,2014,2004,Quito,Pichincha,Ecuador,América,www.ruptura25.org
Partido Social Cristiano (Ecuador),Derecha,-----,1951,Quito,Pichincha,Ecuador,América,http://la6.ec
Partido Socialista Ecuatoriano,Izquierda,-----,1926,Quito,Pichincha,Ecuador,América,http://psfaecuador.org
Acuerdo Nacional por el Cambio,Izquierda,2017,2016,Quito,Pichincha,Ecuador,América,http://pacomoncayo.com/
Adelante Ecuatoriano Adelante,CentroDerecha,-----,2016,Guayaquil,Guayas,Ecuador,América,http://www.adelanteecuatorianoadelante.com/
Movimiento Popular Democrático,Izquierda,2014,1978,Quito,Pichincha,Ecuador,América,http://www.mpd15.org.ec/
Partido Liberal Radical Ecuatoriano,CentroDerecha,1978,1878,Quito,Pichincha,Ecuador,América,-----
Red Ética y Democracia,Centro,2013,2005,Quito,Pichincha,Ecuador,América,-----
Partido Renovador Institucional Acción Nacional,Centro,2014,2002,Guayaquil,Guayas,Ecuador,América,http://www.alvaronoboaprian.com/
Juventud Comunista del Ecuador,Izquierda,-----,1929,Quito,Pichincha,Ecuador,América,http://www.pcecuador.org
Partido Comunista Marxista Leninista del Ecuador,Izquierda,-----,1964,Quito,Pichincha,Ecuador,América,http://www.pcmle.org/
Movimiento Fuerza Ciudadana,CentroIzquierda,2007,1997,Guayaquil,Guayas,Ecuador,América,-----
Una Nueva Opción,Centro,2013,2006,Guayaquil,Guayas,Ecuador,América,-----
Frente Radical Alfarista,Izquierda,2007,1972,Quito,Pichincha,Ecuador,América,-----
Unión Demócrata Cristiana (Ecuador),CentroDerecha,2013,1977,Quito,Pichincha,Ecuador,América,http://www.udc.com.ec
Partido Comunista del Ecuador,Izquierda,-----,1926,Quito,Pichincha,Ecuador,América,http://pcecuador.org
Concentración de Fuerzas Populares,Izquierda,2012,1949,Guayaquil,Guayas,Ecuador,América,-----
Partido Conservador Ecuatoriano,Derecha,1977,1869,Quito,Pichincha,Ecuador,América,-----
Movimiento CREO,Derecha,-----,2012,Guayaquil,Guayas,Ecuador,América,www.creo.com.ec
Alianza País,CentroIzquierda,-----,2006,Quito,Pichincha,Ecuador,América,http://www.movimientoalianzapais.com.ec/
Partido Sociedad Patriótica 21 de Enero,Centro,-----,2002,Quito,Pichincha,Ecuador,América,http://partidosociedadpatriotica.com/
Movimiento Centro Democrático,CentroIzquierda,-----,2012,Guayaquil,Guayas,Ecuador,América,https://www.centrodemocratico.org/
Fuerza Ecuador,Centro,-----,2015,Guayaquil,Guayas,Ecuador,América,http://fuerza.ec
Movimiento SUMA,CentroDerecha,-----,2012,Quito,Pichincha,Ecuador,América,http://suma.ec
Unidad Popular (Ecuador),Izquierda,-----,2014,Quito,Pichincha,Ecuador,América,-----
La Unidad,Izquierda,2016,2015,-----,-----,Ecuador,-----,-----
Movimiento Político Alfaro Vive Carajo,Izquierda,-----,2014,-----,-----,Ecuador,-----,-----
Frente UNIDOS,Izquierda,-----,2014,Quito,Pichincha,Ecuador,América,-----
Unidad Plurinacional de las Izquierdas,Izquierda,2014,2011,-----,-----,Ecuador,-----,-----
Movimiento Cívico Madera de Guerrero,Derecha,-----,2009,Guayaquil,Guayas,Ecuador,América,-----
Pachakutik,Izquierda,-----,1995,Quito,Pichincha,Ecuador,América,http://pachakutik.org/
Alianza por el Cambio (Ecuador),Izquierda,2017,2016,Guayaquil,Guayas,Ecuador,América,-----
