Stream,Channel,Likes,Licensed,Title,Uri,Views,Artist,Track,Description,Energy,Comments,Album_type,Url_spotify,Danceability,Duration_ms,official_video,Url_youtube,Album,Total Views,Avg,100M,period_active,Country,Sales,Genre,Year,TCU
78958345.0,CAguileraVEVO,8789.0,True,Christina Aguilera - This Christmas (Official Audio),spotify:track:32h59T8q2SonUPJ006lyXt,1466536.0,Christina Aguilera,This Christmas,"Christina Aguilera's version of ""This Christmas""
Check out more Christmas Pop Hits! https://holiday.lnk.to/popYD

Listen to Christina Aguilera: https://christinaaguilera.lnk.to/listenYD

Subscribe to the official Christina Aguilera YouTube channel: https://christinaaguliera.lnk.to/subscribeYD

Watch more Christina Aguilera videos: https://ChristinaAguilera.lnk.to/listenYD/youtube

Follow Christina Aguilera:
Facebook: https://ChristinaAguliera.lnk.to/followFI
Instagram: https://ChristinaAguliera.lnk.to/followII
Twitter: https://ChristinaAguliera.lnk.to/followTI
Website: https://ChristinaAguliera.lnk.to/followWI
Spotify: https://ChristinaAguliera.lnk.to/followSI

Lyrics:
Hang all the mistletoe
I'm gonna get to know you better, yeah
This Christmas
And as we trim the tree
How much fun is it going to be together? Yeah, ha
This Christmas
Fireside is blazing bright
We're caroling through the night
And this Christmas will be, yeah
A very special Christmas for me, yeah
Yeah, oh (alright)
Hey, ooh

#ChristinaAguilera #ThisChristmas #ChristmasSongs #PopChristmas",0.744,399.0,album,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS,0.575,241507.0,True,https://www.youtube.com/watch?v=HSgGWDyFZKI,My Kind Of Christmas,"3,523.3",0.767,10.0,1993–present,United States,90–100 million,R&B / pop / rock,1998,76.6 million
316883477.0,Phil Collins,221945.0,True,Phil Collins - Against All Odds (Take A Look At Me Now) (Official Music Video),spotify:track:63CHa6rmamv9OsehkRD8oz,56233353.0,Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,"“Against All Odds (Take A Look At Me Now)” is a power ballad written by Phil Collins for the 1984 film “Against All Odds”.

Subscribe here for more Phil Collins http://smarturl.it/PhilCollinsYouTube

Stay up-to-date with Phil Collins
Subscribe http://smarturl.it/PhilCollinsYouTube 
Like http://smarturl.it/PhilCollinsFacebook 
Follow http://smarturl.it/PhilCollinsTwitter
Listen http://smarturl.it/PhilCollinsSpotify
Follow http://smarturl.it/PhilCollinsGPlus
Official website http://philcollins.co.uk

__

The official YouTube channel for the solo work of English singer-songwriter, drummer, and producer, Mr. Phil Collins.

As a solo artist he has sold more than 100 million records, won 7 Grammys, 6 Brit awards, and an Oscar.

Subscribe for promo clips, live videos, interviews, and more.

(c) Philip Collins Limited

#PhilCollins #ReDiscover #OfficialMusicVideo  #Classic #Legendary #Iconic #Genesis",0.498,9426.0,compilation,https://open.spotify.com/artist/4lxfqrEsLX6N1N4OCSkILp,0.58,206360.0,True,https://www.youtube.com/watch?v=wuvtoyVi7vY,The Singles (Expanded),"1,277.6",0.368,2.0,"1980–2011, 2015–present",United Kingdom,150 million,Rock / progressive rock / adult contemporary,1981,99.4 million
20061385.0,Metallica,473751.0,True,Metallica: Lux Æterna (Official Music Video),spotify:track:3pwmJJRlr8nXNN9PFD18np,14937918.0,Metallica,Lux Æterna,"Metallica's official music video for “Lux Æterna,” from the album “72 Seasons” available April 14th, 2023. 

Listen to “Lux Æterna”: https://metallica.lnk.to/LuxAeterna
Pre-order. Pre-save. Pre-add ""72 Seasons"": https://metallica.lnk.to/72Seasons 
Subscribe for more videos: https://tallica.lnk.to/subscribe

Directed by Tim Saccenti
Filmed in Los Angeles, CA, on November 3, 2022

Video Premiere Date: November 28, 2022

CREDITS

Director: Tim Saccenti
Producer: Daniel Lachman
Executive Producer: Jennifer Heath
Production Supervisor: Kelsie Drinkwater Buchanan
Production Coordinator: Jorge Espinoza
DP: Joshua Zucker-Pluda
Steadicam: Xavier Thompson
1st AC: Nobuyoshi Sakurai
2nd AC: Ryan Murray
DIT: James Petersmeyer
1st AD: Michael Estrella
2nd AD: Ryan Pratt
Gaffer: Drew Valenti
BB Electric: Arin Whitlock
Electric: Tom Peña
Electric: Liam Madigan-Fried
Programmer: Iván Jesús Herrera
Key Grip: Charles Lenz
BB Grip: Kevin Frame
Grip: Michael Perez
Grip: Christopher Lewis
Laser Designer: Adam LaBay @ Precision Lasers
Projectionist: Ryan Griffin @ Projected Visions
Production Designer: Kurt Gefke
Art Asst: Dylan Robie
Stylist: Keith Wager
Hair & Makeup: Lily Barren
VTR: Ignacio Martinez Jr
Medic: Matt Payne
CCO: Chris Howard
Covid Coord. Jaden Osborne
AD PA: Benjamin Salvador
Production Assistant: Joe Largy
Production Assistant: Xavier Musti
Production Assistant: Akil Moore
Production Assistant: Alicia Echevarria
Production Assistant: Oscar Amaya
Production Assistant: Sadé Grandberry

Visuals Curator: Dina Chang
Creative Direction: Setta Studios
Production Company: RadicalMedia

Editorial: PS260
Editor: Matt Posey
Assistant Editors: Conor O'Sullivan, Sarah Mlčoch
Sound Designer: Nicole Pettigrew
Executive Producer: Raná Martin
Managing Partner: Zarina Mak
 
Colorist: Tom Poole @ Co3

VFX: Mark Szumski @ Hey Beautiful Jerk
 
Digital Artists:
Newnome Beauton
Manami Sakamoto
Yoshi Sodeoka
Ibex Solis
Datura

Follow Metallica:
Website & Store: http://www.metallica.com
Official Live Recordings: http://www.livemetallica.com
Instagram: http://www.instagram.com/metallica
Facebook: http://www.facebook.com/metallica
Twitter: http://www.twitter.com/metallica

© 2022 Blackened Recordings


Anticipation
In domination 
A sea of hearts beat as one, unified
Magnification
All generations
Approaching thunder awaiting the light

Full speed or nothing 
Full speed or nothing 

Lux Æterna 
Lux Æterna 

Exhilaration
Frenzied sensation 
Kindred alliance connected inside
Commiseration
Sonic salvation
Cast out the demons that strangle your life

Full speed or nothing
Full speed or nothing 

Lux Æterna 
Lux Æterna 

Lux Æterna

Emancipation 
Kill isolation
Never alone for the feelings alike 
Amplification 
Lightning the nation
Never alive more
Than right here tonight

Full speed or nothing
Full speed or nothing 

Lux Æterna 
Lux Æterna 

Light it

#Metallica #LuxÆterna #72Seasons",0.996,46230.0,single,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,0.386,205680.0,True,https://www.youtube.com/watch?v=_u-7rWKnVVo,Lux Æterna,"5,430.2",1.588,7.0,1981–present,United States,125 million,Heavy metal / thrash metal,1983,105.6 million
538082219.0,beegees,2716911.0,False,Bee Gees - How Deep Is Your Love (Official Video),spotify:track:3ZP18us6p6LHOZMG1LLUjF,506541558.0,Bee Gees,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack","Bee Gees official music video for ""How Deep Is Your Love"" from the Saturday Night Fever Soundtrack, now remastered in HD. Subscribe for more videos: https://beegees.lnk.to/subscribe

Watch more Bee Gees music videos from the Saturday Night Fever Soundtrack: https://youtube.com/watch?v=I_izvAbhExY&list=PL9kT3pdWu4g8it9xPz0tY-sYqT89buFwS

Listen to more from the Bee Gees: https://BeeGees.lnk.to/essentials

Watch more classic Bee Gees videos in HD: https://youtube.com/watch?v=i6iBAuwBODA&list=PL9kT3pdWu4g9tl0yEjfD_nGSAg4aG9_H3

Join the Bee Gees on 
Facebook: https://www.facebook.com/beegees/
Twitter: https://twitter.com/beegees
Instagram: https://instagram.com/beegees/
Website: https://beegees.com

© & ℗ Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group

#BeeGees #HowDeepIsYourLove #Remastered",0.5,88551.0,album,https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN,0.594,241093.0,False,https://www.youtube.com/watch?v=XpqqjU7u5Yc,How Can You Mend A Broken Heart,"2,854.4",1.327,6.0,1963–20032009–2012,United Kingdom Australia[238][239],120 million,Pop / disco,1963,74.7 million
166588725.0,UsherVEVO,1081624.0,True,Usher - Burn (Official Music Video),spotify:track:7z3N2W7Xz1t2G2sAO8wFVH,297639332.0,Usher,Burn,"Usher's official music video for 'Burn'. Click to listen to Usher on Spotify: http://smarturl.it/UsherSpotify?IQid=...

As featured on Confessions. Click to buy the track or album via iTunes: http://smarturl.it/UsherCnfshnsiTunes...
Google Play: http://smarturl.it/UsherBurnplay?IQid...
Amazon: http://smarturl.it/UsherCnfshnsAmz?IQ...

More from Usher
I Don't Mind: https://youtu.be/nSKUXqJ5l1k
Good Kisser: https://youtu.be/1lQtoRFaLsA
U Got It Bad: https://youtu.be/o3IWTfcks4k

Follow Usher
Website: http://usherworld.com/
Facebook: https://www.facebook.com/usher/
Twitter: https://twitter.com/usher
Instagram: https://instagram.com/howuseeit/

Subscribe to Usher on YouTube: http://smarturl.it/UsherSub?IQid=Ushe...

More great Classic RNB videos here: http://smarturl.it/ClassicRNB?IQid=Us...

---------

Lyrics:

Girl, understand why
See it's burning me to hold onto this
I know this is something I gotta do
But that don't mean I want to
What I'm trying to say is that I-love-you I just
I feel like this is coming to an end
And its better for me to let it go now than hold on and hurt you
I gotta let it burn

It's gonna burn for me to say this
But it's coming from my heart
It's been a longtime coming
But we done been fell apart
Really wanna work this out
But I don't think you're gonna change ya
I do but you don't
Think it's best we go our separate ways
Tell me why I should stay in this relationship
When I'm hurting baby, I ain't happy baby
Plus theres so many other things I gotta deal with
I think that you should let it burn

When your feeling ain't the same and your body don't want to
But you know gotta let it go cause the party ain't jumpin' like it used to
Even though thismight bruise you
Let it burn
Let it burn
Gotta let it burn

Deep down you know it's best for yourself but you
Hate the thought of her being with someone else
But you know that it's over
You know that it was through
Let it burn
Let it burn
Gotta let it burn""",0.477,32928.0,album,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj,0.796,231933.0,True,https://www.youtube.com/watch?v=t5XNWFw5HVw,Confessions (Expanded Edition),"4,458.7",1.214,13.0,1991–present,United States,80 million,R&B / pop,1994,76.6 million
278400616.0,JohnnyCashVEVO,53415.0,True,Johnny Cash - I Walk the Line (Man in Black: Live in Denmark),spotify:track:1TKPfF2fvn6gVLVfp3iG4j,6543491.0,Johnny Cash,I Walk The Line - Single Version,"""I Walk the Line"" by Johnny Cash
Listen to Johnny Cash: https://JohnnyCash.lnk.to/listenYD

Subscribe to the official Johnny Cash YouTube Channel: https://JohnnyCash.lnk.to/subscribeYD

Follow Johnny Cash:
Facebook: https://JohnnyCash.lnk.to/_followFI
Twitter: https://JohnnyCash.lnk.to/_followTI
Instagram: https://JohnnyCash.lnk.to/_followII
Website: https://JohnnyCash.lnk.to/_followWI
Spotify: https://JohnnyCash.lnk.to/_followSI

Chorus:
I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds
And because you are mine, I walk the line.

#JohnnyCash #Country #IWalkTheLine",0.484,1388.0,album,https://open.spotify.com/artist/6kACVPfCOnqzgfEF5ryl0x,0.862,163046.0,True,https://www.youtube.com/watch?v=jh169rVMveA,Sings the Songs that Made Him Famous,513.9,0.282,2.0,1954–2003,United States,90 million,Country / rock and roll / gospel,1956,32.2 million
82024994.0,EarthWindandFireVEVO,4804872.0,True,"Earth, Wind & Fire - September (Official HD Video)",spotify:track:0RgcOUQg4qYAEt9RIdf3oB,641407658.0,"Earth, Wind & Fire",Shining Star,"Official HD video for ""September"" by Earth, Wind and Fire
Listen to Earth, Wind and Fire: https://EarthWindandFire.lnk.to/listenYD

Subscribe to the official Earth, Wind and Fire: https://EarthWindandFire.lnk.to/subscribeYD

Watch more Earth, Wind and Fire videos: https://EarthWindandFire.lnk.to/listenYC/youtube

Follow Earth, Wind and Fire:
Facebook: https://EarthWindandFire.lnk.to/followFI
Instagram: https://EarthWindandFire.lnk.to/followII
Twitter: https://EarthWindandFire.lnk.to/followTI
Website: https://EarthWindandFire.lnk.to/followWI
Spotify: https://EarthWindandFire.lnk.to/followSI
YouTube: https://EarthWindandFire.lnk.to/listenYC/youtube

Chorus:
Hey, hey, hey!
Ba-dee-ya, say, do you remember?
Ba-dee-ya, dancin' in September
Ba-dee-ya, never was a cloudy day

#EarthWindandFire #September #HD #Remastered",0.692,305112.0,album,https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg,0.676,170160.0,True,https://www.youtube.com/watch?v=Gs069dndIYk,That's The Way Of The World,"1,649.2",0.563,3.0,1969–present,United States,100 million,Funk / R&B / soul,1971,44.7 million
676843630.0,aliciakeysVEVO,3115238.0,True,Alicia Keys - No One (Official Music Video),spotify:track:6IwKcFdiRQZOWeYNhUiWIv,692467188.0,Alicia Keys,No One,"Official video for ""No One"" by Alicia Keys
Listen to Alicia Keys: https://AliciaKeys.lnk.to/_listenYD
Watch NOTED: Alicia Keys The Untold Stories 4 Part YouTube Originals Series https://aliciakeys.lnk.to/NOTED

Subscribe to the official Alicia Keys YouTube channel: https://AliciaKeys.lnk.to/_subscribeYD
 Watch more videos by Alicia Keys: https://AliciaKeys.lnk.to/_listenID/youtube
 
Follow Alicia Keys:
Facebook: https://AliciaKeys.lnk.to/followFI
Twitter: https://AliciaKeys.lnk.to/followTI
Instagram: https://AliciaKeys.lnk.to/followII
Website: https://AliciaKeys.lnk.to/followWI
Spotify: https://AliciaKeys.lnk.to/followSI
 
Chorus:
No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you, you, you
Can get in the way of what I feel for you
 
#AliciaKeys #NoOne #AsIAm #HD #Remastered",0.549,75991.0,album,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,0.644,253813.0,True,https://www.youtube.com/watch?v=rywUS-ohqeE,As I Am (Expanded Edition),"3,101.6",0.739,6.0,1996–present,United States,90 million,Hip-hop / R&B / pop,2001,85.9 million
914287347.0,whitneyhoustonVEVO,2042571.0,True,Whitney Houston - I Wanna Dance With Somebody (Official 4K Video),spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,387271564.0,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),"Official Video for ”I Wanna Dance With Somebody” by Whitney Houston
Listen to Whitney Houston: https://WhitneyHouston.lnk.to/listenYD
Watch more Whitney Houston videos: https://WhitneyHouston.lnk.to/listenYC/youtube

Subscribe to the official Whitney Houston YouTube channel: https://WhitneyHouston.lnk.to/subscribeYD

Follow Whitney Houston:
Facebook: https://WhitneyHouston.lnk.to/followFI
Instagram: https://WhitneyHouston.lnk.to/followII
Website: https://WhitneyHouston.lnk.to/followWI
Spotify: https://WhitneyHouston.lnk.to/followSI
YouTube: https://WhitneyHouston.lnk.to/subscribeYD

Ask your voice device to play Whitney Houston! 

Lyrics: 
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah! I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah! I wanna dance with somebody
With somebody who loves me 

#WhitneyHouston #IWannaDanceWithSomebody #OfficialVideo",0.824,62121.0,album,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP,0.709,291293.0,True,https://www.youtube.com/watch?v=eH3giaIzONA,Whitney,"4,918.7",1.894,10.0,1977–2012,United States,200 million,R&B / soul / pop / gospel,1984,155.3 million
142353784.0,BackstreetBoysVEVO,1400337.0,True,Backstreet Boys - Show Me The Meaning Of Being Lonely,spotify:track:3BsaRV5QIulYz2lV9WWa8T,261581087.0,Backstreet Boys,Show Me the Meaning of Being Lonely,"Backstreet Boys' official music video for 'Show Me The Meaning Of Being Lonely'. Click to listen to Backstreet Boys on Spotify: http://smarturl.it/BBSpot?IQid=BBBL

Backstreet Boys will be going back on tour in 2017 starting on March 1! 

Buy/Listen The Essential Backstreet Boys:
Amazon - http://smarturl.it/bsb_te_amzn?IQid=y...
iTunes - http://smarturl.it/bsb_te_itunes?IQid...
Spotify - http://smarturl.it/bsb_te_spotify?IQi... 

About The Essential:
Two CD 29-track compilation from the boyband featuring hits, album tracks and fan favorites including ""Everybody (Backstreet's Back)"", ""I Want It That Way"", ""Larger Than Life"", ""Quit Playing Games (With My Heart)"" and more favorites.

More from Backstreet Boys
Incomplete: https://youtu.be/WVe80iZtlYU
I Want It That Way: https://youtu.be/4fndeDfaWCg
As Long As You Love Me: https://youtu.be/0Gl2QnHNpkA

More great Ultimate Hits Of The Nineties videos here: http://smarturl.it/UHNPlaylist?IQid=BBTW

Follow Backstreet Boys
Website - http://www.backstreetboys.com/
Facebook - https://www.facebook.com/backstreetboys
Twitter - https://twitter.com/backstreetboys
YouTube - http://smarturl.it/BKBSub?IQid=BBTW

---------

Lyrics:

Show me the meaning of being lonely
Is this the feeling I need to walk with?
Tell me why I can't be there where you are
There's something missing in my heart

Life goes on as it never ends
Eyes of stone observe the trends
They never say forever gaze if only
Guilty roads to an endless love (endless love)
There's no control
Are you with me now?
Your every wish will be done
They tell me",0.625,54464.0,album,https://open.spotify.com/artist/5rSXSAkZ67PYJSvpUpkOr7,0.63,234960.0,True,https://www.youtube.com/watch?v=aBt8fN7mJNg,Millennium,"4,175.1",1.484,9.0,1993–present,United States,100 million,Pop,1995,78 million
